,Unnamed: 0.1,Unnamed: 0,date,symbol,open,high,low,close,volume,rsi
134,134,134,2021-03-01,GOLDENTOBC,49.70000076293945,49.70000076293945,39.20000076293945,39.900001525878906,204606,54.32580629668012
135,135,135,2021-04-01,GOLDENTOBC,40.95000076293945,43.900001525878906,35.5,41.95000076293945,130522,55.647180276302066
136,136,136,2021-05-01,GOLDENTOBC,41.04999923706055,49.20000076293945,40.79999923706055,46.150001525878906,331079,58.308417528458236
137,137,137,2021-06-01,GOLDENTOBC,47.95000076293945,66.05000305175781,44.95000076293945,61.0,1264560,66.06211505330837
138,138,138,2021-07-01,GOLDENTOBC,61.0,82.25,43.5,82.25,1963722,73.62205901380217
139,139,139,2021-08-01,GOLDENTOBC,84.69999694824219,127.0500030517578,69.19999694824219,88.4000015258789,2503265,75.33453349883928
140,140,140,2021-09-01,GOLDENTOBC,92.8000030517578,149.60000610351562,84.0,149.60000610351562,2251127,85.45441358500368
141,141,141,2021-10-01,GOLDENTOBC,157.0500030517578,190.8000030517578,131.64999389648438,139.39999389648438,850116,79.59309477305497
142,142,142,2021-11-01,GOLDENTOBC,138.0,143.6999969482422,111.25,120.6500015258789,321634,70.077720024473
143,143,143,2021-12-01,GOLDENTOBC,124.9000015258789,142.89999389648438,114.3000030517578,127.25,315409,71.37497059442482
144,144,144,2022-01-01,GOLDENTOBC,129.8000030517578,130.9499969482422,103.5999984741211,109.4000015258789,295596,63.372745851080204
145,145,145,2022-02-01,GOLDENTOBC,111.5999984741211,119.0,91.1500015258789,98.3000030517578,241738,58.94691034993641
146,146,146,2022-03-01,GOLDENTOBC,98.3000030517578,104.5,91.0500030517578,93.1500015258789,302993,56.95932096586516
147,147,147,2022-04-01,GOLDENTOBC,95.4499969482422,161.75,94.0500030517578,123.9000015258789,3342179,64.62839360117336
148,148,148,2022-05-01,GOLDENTOBC,124.9000015258789,130.0,93.3499984741211,99.75,690351,56.16429397865361
149,149,149,2022-06-01,GOLDENTOBC,101.6500015258789,101.8499984741211,76.44999694824219,81.19999694824219,217865,50.67447334527437
150,150,150,2022-07-01,GOLDENTOBC,82.80000305175781,94.0,79.4000015258789,81.0,131328,50.617027509065046
151,151,151,2022-08-01,GOLDENTOBC,81.94999694824219,87.1500015258789,79.1500015258789,82.55000305175781,90285,51.07988853911345
152,152,152,2022-09-01,GOLDENTOBC,82.19999694824219,93.9000015258789,74.55000305175781,80.19999694824219,115921,50.30996338016579
153,153,153,2022-10-01,GOLDENTOBC,82.0,83.19999694824219,74.80000305175781,78.94999694824219,51314,49.87929343068552
154,154,154,2022-11-01,GOLDENTOBC,79.5,79.94999694824219,68.6500015258789,71.80000305175781,67782,47.38082684844295
155,155,155,2022-12-01,GOLDENTOBC,73.25,73.9000015258789,61.5,67.55000305175781,79446,45.90879538802744
156,156,156,2023-01-01,GOLDENTOBC,70.5999984741211,72.5,58.20000076293945,59.0,39357,43.013572558542805
157,157,157,2023-02-01,GOLDENTOBC,59.0,63.70000076293945,53.09999847412109,53.54999923706055,43277,41.22872559527342
158,158,158,2023-03-01,GOLDENTOBC,54.650001525878906,59.650001525878906,39.34999847412109,42.900001525878906,74730,37.9176119849722
159,159,159,2023-04-01,GOLDENTOBC,41.0,56.70000076293945,41.0,53.900001525878906,28546,43.00869982967778
160,160,160,2023-05-01,GOLDENTOBC,53.900001525878906,53.900001525878906,41.75,41.75,9903,39.186230605512655
161,161,161,2023-06-01,GOLDENTOBC,40.70000076293945,45.150001525878906,39.70000076293945,41.75,130947,39.18623060551266
162,162,162,2023-07-01,GOLDENTOBC,41.79999923706055,45.0,39.09999847412109,43.95000076293945,65069,40.30045980532072
163,163,163,2023-08-01,GOLDENTOBC,44.20000076293945,55.95000076293945,41.84999847412109,49.79999923706055,92252,43.27659405242653
164,164,164,2023-09-01,GOLDENTOBC,49.79999923706055,63.5,48.20000076293945,53.95000076293945,87186,45.35766999147769
165,165,165,2023-10-01,GOLDENTOBC,53.95000076293945,56.0,47.25,50.20000076293945,37422,43.79412919372586
166,166,166,2023-11-01,GOLDENTOBC,52.0,54.900001525878906,48.900001525878906,51.09999847412109,42033,44.290473187887365
167,167,167,2023-12-01,GOLDENTOBC,51.09999847412109,52.45000076293945,48.09999847412109,49.59999847412109,68326,43.59941237943578
