,SYMBOL,NAME OF COMPANY,macro,sector,industry,basicIndustry
115,ANMOL,Anmol India Limited,Energy,Oil Gas & Consumable Fuels,Consumable Fuels,Trading - Coal
116,ANTGRAPHIC,Antarctica Limited,Industrials,Capital Goods,Industrial Products,Packaging
117,ANUHPHR,Anuh Pharma Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
118,ANUP,The Anup Engineering Limited,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
119,ANURAS,Anupam Rasayan India Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
120,APARINDS,Apar Industries Limited,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
121,APCL,Anjani Portland Cement Limited,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
122,APCOTEXIND,Apcotex Industries Limited,Industrials,Capital Goods,Industrial Products,Rubber
123,APEX,Apex Frozen Foods Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Seafood
124,APLAPOLLO,APL Apollo Tubes Limited,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
125,APLLTD,Alembic Pharmaceuticals Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
126,APOLLO,Apollo Micro Systems Limited,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
127,APOLLOHOSP,Apollo Hospitals Enterprise Limited,Healthcare,Healthcare,Healthcare Services,Hospital
128,APOLLOPIPE,Apollo Pipes Limited,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial
129,APOLLOTYRE,Apollo Tyres Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products
130,APOLSINHOT,Apollo Sindoori Hotels Limited,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
131,APTECHT,Aptech Limited,Consumer Discretionary,Consumer Services,Other Consumer Services,Education
132,APTUS,Aptus Value Housing Finance India Limited,Financial Services,Financial Services,Finance,Housing Finance Company
133,ARCHIDPLY,Archidply Industries Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates
134,ARCHIES,Archies Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Leisure Products
135,ARE&M,Amara Raja Energy & Mobility Limited,,,,
