date,symbol,open,high,low,close,volume
2021-09-01,STYRENIX,994.1670321242261,1070.470463054774,968.4609609830947,1026.2811279296875,410493
2021-10-01,STYRENIX,1020.836153172525,1393.4635733799125,1014.7244708331394,1113.9189453125,1740231
2021-11-01,STYRENIX,1113.9189441324404,1217.891606703721,987.5367796738193,1033.8743896484375,408160
2021-12-01,STYRENIX,1044.504875617597,1057.8024674956453,929.9016209967313,1020.3175048828125,213127
2022-01-01,STYRENIX,1037.0598423035924,1077.1376415544808,873.0074285386977,944.0881958007812,301990
2022-02-01,STYRENIX,956.4596508351314,996.3893228248493,744.7361889017586,777.1466674804688,410791
2022-03-01,STYRENIX,777.1466965257713,839.5599333922456,696.3613371452329,722.5489501953125,736221
2022-04-01,STYRENIX,722.5490136671808,856.7467629289625,600.7228456340379,623.65087890625,5442791
2022-05-01,STYRENIX,621.5395889851742,684.5084388823611,523.1600301888953,669.87744140625,2890900
2022-06-01,STYRENIX,674.8778078290246,729.6236766271298,551.2366194611067,565.8676147460938,2498419
2022-07-01,STYRENIX,642.945159915501,754.0864027123602,632.1183631811726,703.4503173828125,1453519
2022-08-01,STYRENIX,705.407464564303,793.6875014519253,674.5927347073027,772.40869140625,2009182
2022-09-01,STYRENIX,768.7026366488957,785.4841934155581,707.0731728222237,727.6857299804688,1091883
2022-10-01,STYRENIX,728.6851417613565,737.05507910343,696.2463798084378,701.8263549804688,615029
2022-11-01,STYRENIX,704.5746734555339,707.905995788657,639.9470405257239,676.1751708984375,846453
2022-12-01,STYRENIX,679.5897155489982,702.4509238671268,627.1630232823532,647.0260620117188,426160
2023-01-01,STYRENIX,650.2740924388496,702.0761635453584,633.7840574828206,648.2753295898438,336364
2023-02-01,STYRENIX,654.6049046159865,662.9748426574727,583.5644588488603,616.877685546875,326598
2023-03-01,STYRENIX,623.0405262531403,770.368273749464,579.7333368099273,595.7236938476562,1828080
2023-04-01,STYRENIX,659.2242639099676,742.2974517127548,654.3214574356875,725.4353637695312,416368
2023-05-01,STYRENIX,725.4353792808167,809.1958813298636,723.9691350516333,797.3740844726562,669005
2023-06-01,STYRENIX,797.2824331994763,1048.426444404215,791.3715350079956,980.886474609375,1409766
2023-07-01,STYRENIX,986.9807183441571,1126.2760472098134,986.9807183441571,1091.360595703125,623885
2023-08-01,STYRENIX,1090.5356857298025,1106.114766954514,908.3978978820728,1013.6483154296875,563063
2023-09-01,STYRENIX,1041.5550779519276,1048.5236764912725,954.1430126183822,1016.6737670898438,420061
2023-10-01,STYRENIX,1016.6737509342577,1373.4309362480585,966.4433215826612,1289.15234375,2591610
2023-11-01,STYRENIX,1312.3378789717563,1440.6257961775398,1195.500892628107,1378.3348388671875,839851
2023-12-01,STYRENIX,1378.382447851122,1487.047045755197,1349.4464407961505,1371.873046875,510264
2024-01-01,STYRENIX,1377.9074191854427,1522.7777079952255,1355.005670797821,1464.572998046875,453682
2024-02-01,STYRENIX,1472.9355952936182,1567.963698215787,1339.8962512025817,1374.676513671875,616775
2024-03-01,STYRENIX,1419.7308797745864,1459.3364278877484,1259.1544216483574,1401.176513671875,502646
2024-04-01,STYRENIX,1424.6264092236845,1696.8230702299968,1402.6939924899877,1618.444091796875,601823
